pos:0, dYdX:3.999943; totalDist:0; dist:0; theta:14.03643; fieldPos:(-61.94857, -54.21518);
pos:1, dYdX:1000; totalDist:1.104559; dist:1.104559; theta:0.05595291; fieldPos:(-61.68067, -53.1436);
pos:2, dYdX:4.000128; totalDist:2.71192; dist:1.607361; theta:14.03581; fieldPos:(-61.68067, -51.53624);
pos:3, dYdX:8.00047; totalDist:3.81648; dist:1.10456; theta:7.124583; fieldPos:(-61.41278, -50.46466);
pos:4, dYdX:5.000114; totalDist:5.976319; dist:2.159838; theta:11.3097; fieldPos:(-61.14491, -48.3215);
pos:5, dYdX:4.000257; totalDist:7.34231; dist:1.365992; theta:14.03537; fieldPos:(-60.87702, -46.98203);
pos:6, dYdX:1.333375; totalDist:8.446873; dist:1.104562; theta:36.86905; fieldPos:(-60.60914, -45.91045);
pos:7, dYdX:1.000014; totalDist:9.786322; dist:1.339449; theta:44.99959; fieldPos:(-59.80548, -44.83887);
pos:8, dYdX:0.500016; totalDist:10.92289; dist:1.136573; theta:63.43422; fieldPos:(-59.00181, -44.03519);
pos:9, dYdX:0.5000231; totalDist:12.12092; dist:1.198022; theta:63.4339; fieldPos:(-57.93027, -43.4994);
pos:10, dYdX:0.2000034; totalDist:13.31894; dist:1.198026; theta:78.68988; fieldPos:(-56.85874, -42.96361);
pos:11, dYdX:0.7500365; totalDist:14.6849; dist:1.365959; theta:53.12877; fieldPos:(-55.51931, -42.69572);
pos:12, dYdX:0.2500035; totalDist:16.02435; dist:1.339445; theta:75.96357; fieldPos:(-54.44777, -41.89203);
pos:13, dYdX:1.000043; totalDist:17.12887; dist:1.104528; theta:44.99878; fieldPos:(-53.37622, -41.62414);
pos:14, dYdX:1.250022; totalDist:18.26543; dist:1.136557; theta:38.65931; fieldPos:(-52.57257, -40.82045);
pos:15, dYdX:1.666738; totalDist:19.98078; dist:1.715351; theta:30.96268; fieldPos:(-51.50101, -39.48098);
pos:16, dYdX:1.333371; totalDist:21.54284; dist:1.562064; theta:36.86911; fieldPos:(-50.69736, -38.14151);
pos:17, dYdX:2.500089; totalDist:22.88231; dist:1.33946; theta:21.80071; fieldPos:(-49.8937, -37.06993);
pos:18, dYdX:2.000071; totalDist:24.32495; dist:1.44265; theta:26.56423; fieldPos:(-49.35793, -35.73045);
pos:19, dYdX:1.333379; totalDist:25.52301; dist:1.198053; theta:36.86895; fieldPos:(-48.82216, -34.65887);
pos:20, dYdX:1.200044; totalDist:26.86246; dist:1.339452; theta:39.80453; fieldPos:(-48.01851, -33.5873);
pos:21, dYdX:1.00003; totalDist:28.95475; dist:2.092293; theta:44.99913; fieldPos:(-46.67908, -31.97993);
