pos:0, dYdX:-0.2666564; totalDist:0; dist:0; theta:-75.06913; fieldPos:(32.1296, -38.64074);
pos:1, dYdX:-0.1153793; totalDist:4.902069; dist:4.902069; theta:-83.41835; fieldPos:(27.39303, -37.3777);
pos:2, dYdX:-0.07142247; totalDist:13.16655; dist:8.264477; theta:-85.91473; fieldPos:(19.18302, -36.43044);
pos:3, dYdX:-0.1818135; totalDist:17.59858; dist:4.432034; theta:-79.69541; fieldPos:(14.76225, -36.11469);
pos:4, dYdX:-0.06666468; totalDist:21.12899; dist:3.53041; theta:-86.18604; fieldPos:(11.28878, -35.48317);
pos:5, dYdX:-0.1666582; totalDist:25.87607; dist:4.747078; theta:-80.53815; fieldPos:(6.552219, -35.16741);
pos:6, dYdX:-0.08332974; totalDist:27.79679; dist:1.920728; theta:-85.23656; fieldPos:(4.657623, -34.85166);
pos:7, dYdX:-0.2222125; totalDist:31.59918; dist:3.80239; theta:-77.47173; fieldPos:(0.8683664, -34.5359);
pos:8, dYdX:-0.09999866; totalDist:34.51043; dist:2.911246; theta:-84.28948; fieldPos:(-1.97356, -33.90439);
pos:9, dYdX:0; totalDist:37.68388; dist:3.173445; theta:-90; fieldPos:(-5.131256, -33.58862);
pos:10, dYdX:0; totalDist:39.5785; dist:1.894618; theta:-90; fieldPos:(-7.025874, -33.58862);
pos:11, dYdX:0; totalDist:42.73619; dist:3.157697; theta:-90; fieldPos:(-10.18357, -33.58862);
pos:12, dYdX:0.3076818; totalDist:44.94659; dist:2.210398; theta:-107.1022; fieldPos:(-12.39397, -33.58862);
pos:13, dYdX:0.4999743; totalDist:49.2415; dist:4.294917; theta:-116.5639; fieldPos:(-16.49897, -34.85166);
pos:14, dYdX:0.4285539; totalDist:51.35974; dist:2.118237; theta:-113.1977; fieldPos:(-18.3936, -35.79892);
pos:15, dYdX:0.24999; totalDist:53.76455; dist:2.404803; theta:-104.0357; fieldPos:(-20.60398, -36.74619);
pos:16, dYdX:0.2499888; totalDist:58.97235; dist:5.207807; theta:-104.0356; fieldPos:(-25.6563, -38.00922);
pos:17, dYdX:0.4285543; totalDist:62.87821; dist:3.905857; theta:-113.1978; fieldPos:(-29.44555, -38.95649);
pos:18, dYdX:0.6666391; totalDist:65.28301; dist:2.404801; theta:-123.689; fieldPos:(-31.65593, -39.90376);
pos:19, dYdX:0.7999686; totalDist:67.56004; dist:2.277033; theta:-128.6587; fieldPos:(-33.55056, -41.16679);
pos:20, dYdX:0.8333014; totalDist:69.58192; dist:2.021878; theta:-129.8045; fieldPos:(-35.1294, -42.42982);
pos:21, dYdX:0.6666371; totalDist:72.04813; dist:2.466202; theta:-123.6889; fieldPos:(-37.02402, -44.00861);
pos:22, dYdX:0.3333145; totalDist:73.18663; dist:1.138502; theta:-108.434; fieldPos:(-37.97132, -44.64011);
pos:23, dYdX:0.3749843; totalDist:75.18373; dist:1.997105; theta:-110.5553; fieldPos:(-39.86596, -45.27162);
pos:24, dYdX:0.29999; totalDist:77.88165; dist:2.697923; theta:-106.6987; fieldPos:(-42.39211, -46.21889);
pos:25, dYdX:0.2499826; totalDist:81.17838; dist:3.296722; theta:-104.0353; fieldPos:(-45.54981, -47.16617);
pos:26, dYdX:0.3333266; totalDist:82.48033; dist:1.301956; theta:-108.4346; fieldPos:(-46.8129, -47.48192);
pos:27, dYdX:0.6666358; totalDist:84.47742; dist:1.997088; theta:-123.6888; fieldPos:(-48.7075, -48.11344);
