pos:0, dYdX:0.05555257; totalDist:0; dist:0; theta:-93.17966; fieldPos:(46.02349, -35.48317);
pos:1, dYdX:0.1999908; totalDist:5.69264; dist:5.69264; theta:-101.3094; fieldPos:(40.33961, -35.79892);
pos:2, dYdX:0.07692169; totalDist:10.52298; dist:4.830339; theta:-94.39863; fieldPos:(35.60307, -36.74619);
pos:3, dYdX:0; totalDist:14.64013; dist:4.117151; theta:-90; fieldPos:(31.49804, -37.06195);
pos:4, dYdX:0; totalDist:18.42935; dist:3.789217; theta:-90; fieldPos:(27.70882, -37.06195);
pos:5, dYdX:0; totalDist:19.69245; dist:1.2631; theta:-90; fieldPos:(26.44572, -37.06195);
pos:6, dYdX:0; totalDist:23.48168; dist:3.789232; theta:-90; fieldPos:(22.65649, -37.06195);
pos:7, dYdX:-0.09090784; totalDist:25.69207; dist:2.210388; theta:-84.80564; fieldPos:(20.4461, -37.06195);
pos:8, dYdX:-0.08332874; totalDist:29.17986; dist:3.48779; theta:-85.23662; fieldPos:(16.97264, -36.74619);
pos:9, dYdX:-0.2857046; totalDist:32.98225; dist:3.802389; theta:-74.05511; fieldPos:(13.18338, -36.43044);
pos:10, dYdX:-0.4999815; totalDist:35.28106; dist:2.29881; theta:-63.4358; fieldPos:(10.97301, -35.79892);
pos:11, dYdX:0; totalDist:36.69321; dist:1.412153; theta:-90; fieldPos:(9.709937, -35.16741);
pos:12, dYdX:0; totalDist:38.90362; dist:2.210409; theta:-90; fieldPos:(7.499528, -35.16741);
pos:13, dYdX:0; totalDist:41.11401; dist:2.210387; theta:-90; fieldPos:(5.289141, -35.16741);
pos:14, dYdX:0; totalDist:44.2717; dist:3.157696; theta:-90; fieldPos:(2.131445, -35.16741);
pos:15, dYdX:0; totalDist:47.4294; dist:3.157696; theta:-90; fieldPos:(-1.026251, -35.16741);
pos:16, dYdX:0; totalDist:52.79748; dist:5.368084; theta:-90; fieldPos:(-6.394335, -35.16741);
pos:17, dYdX:0.1428528; totalDist:55.00787; dist:2.210387; theta:-98.12985; fieldPos:(-8.604722, -35.16741);
pos:18, dYdX:0.2857071; totalDist:57.24071; dist:2.232838; theta:-105.945; fieldPos:(-10.81512, -35.48317);
pos:19, dYdX:0.2856936; totalDist:59.53954; dist:2.298832; theta:-105.9443; fieldPos:(-13.02551, -36.11469);
pos:20, dYdX:0.2222131; totalDist:61.83838; dist:2.298836; theta:-102.5283; fieldPos:(-15.2359, -36.74619);
pos:21, dYdX:0.181812; totalDist:64.74961; dist:2.911239; theta:-100.3045; fieldPos:(-18.07782, -37.3777);
pos:22, dYdX:0.1428525; totalDist:68.28003; dist:3.530417; theta:-98.12984; fieldPos:(-21.5513, -38.00922);
pos:23, dYdX:0.1428511; totalDist:70.51285; dist:2.232816; theta:-98.12976; fieldPos:(-23.76167, -38.32498);
