pos:0, dYdX:4.003377; totalDist:0; dist:0; theta:14.02487; fieldPos:(-58.17201, -43.3837);
pos:1, dYdX:2.001753; totalDist:1.09988; dist:1.09988; theta:26.54497; fieldPos:(-57.90546, -42.3166);
pos:2, dYdX:2.00171; totalDist:2.292713; dist:1.192833; theta:26.54547; fieldPos:(-57.37239, -41.24952);
pos:3, dYdX:1.668112; totalDist:3.485534; dist:1.192821; theta:30.94185; fieldPos:(-56.83931, -40.18244);
pos:4, dYdX:5.004537; totalDist:5.04071; dist:1.555176; theta:11.29993; fieldPos:(-56.03968, -38.84858);
pos:5, dYdX:2.502186; totalDist:6.400933; dist:1.360223; theta:21.78415; fieldPos:(-55.77316, -37.51473);
pos:6, dYdX:4.00355; totalDist:7.837369; dist:1.436436; theta:14.02429; fieldPos:(-55.24008, -36.18087);
pos:7, dYdX:5.004322; totalDist:8.937246; dist:1.099877; theta:11.30042; fieldPos:(-54.97354, -35.11378);
pos:8, dYdX:5.004322; totalDist:10.29747; dist:1.360225; theta:11.30042; fieldPos:(-54.707, -33.77992);
pos:9, dYdX:2.502165; totalDist:11.6577; dist:1.360225; theta:21.78431; fieldPos:(-54.44046, -32.44607);
pos:10, dYdX:4.003678; totalDist:13.09413; dist:1.436436; theta:14.02385; fieldPos:(-53.90738, -31.11221);
pos:11, dYdX:1.000875; totalDist:14.19399; dist:1.099863; theta:44.97493; fieldPos:(-53.64085, -30.04513);
pos:12, dYdX:0.5004258; totalDist:15.32533; dist:1.131331; theta:63.41544; fieldPos:(-52.84123, -29.24481);
pos:13, dYdX:0.5004383; totalDist:16.51753; dist:1.192209; theta:63.41486; fieldPos:(-51.77507, -28.71127);
pos:14, dYdX:2.50224; totalDist:17.70974; dist:1.192202; theta:21.78373; fieldPos:(-50.70892, -28.17773);
pos:15, dYdX:1.334497; totalDist:19.14617; dist:1.436432; theta:36.8459; fieldPos:(-50.17585, -26.84387);
pos:16, dYdX:2.502215; totalDist:20.47961; dist:1.333447; theta:21.78391; fieldPos:(-49.37623, -25.77678);
pos:17, dYdX:4.003435; totalDist:21.91604; dist:1.43643; theta:14.02467; fieldPos:(-48.84316, -24.44292);
pos:18, dYdX:2.001746; totalDist:23.01591; dist:1.099863; theta:26.54505; fieldPos:(-48.57662, -23.37585);
pos:19, dYdX:2.001768; totalDist:24.20875; dist:1.192838; theta:26.54482; fieldPos:(-48.04354, -22.30875);
pos:20, dYdX:2.502179; totalDist:25.40158; dist:1.192831; theta:21.7842; fieldPos:(-47.51047, -21.24166);
pos:21, dYdX:1.000871; totalDist:26.83801; dist:1.436433; theta:44.97505; fieldPos:(-46.97739, -19.90781);
pos:22, dYdX:2.00171; totalDist:28.34643; dist:1.508422; theta:26.54547; fieldPos:(-45.91124, -18.84073);
pos:23, dYdX:1.334493; totalDist:29.53927; dist:1.192838; theta:36.84598; fieldPos:(-45.37815, -17.77364);
pos:24, dYdX:2.001771; totalDist:30.8727; dist:1.333432; theta:26.54477; fieldPos:(-44.57854, -16.70656);
pos:25, dYdX:3.002659; totalDist:32.06554; dist:1.192833; theta:18.41972; fieldPos:(-44.04546, -15.63947);
pos:26, dYdX:1.000869; totalDist:33.75259; dist:1.687059; theta:44.9751; fieldPos:(-43.51239, -14.03885);
pos:27, dYdX:2.00178; totalDist:34.88393; dist:1.131333; theta:26.54466; fieldPos:(-42.71277, -13.23852);
